day,symbol,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2026-06-22,ES=F,SHORT,2026-06-22 10:25:00-04:00,7571.25,2026-06-22 10:40:00-04:00,7545.12,1,TARGET,1.981,1304.37,35.2,False
2026-06-23,ES=F,LONG,2026-06-23 09:50:00-04:00,7458.00,2026-06-23 10:20:00-04:00,7489.50,1,TARGET,1.984,1572.75,39.1,False
2026-06-24,ES=F,SHORT,2026-06-24 09:50:00-04:00,7449.75,2026-06-24 09:50:00-04:00,7464.88,1,STOP,-1.017,-758.50,36.3,False
2026-06-24,ES=F,LONG,2026-06-24 10:00:00-04:00,7454.75,2026-06-24 10:20:00-04:00,7438.88,1,STOP,-1.016,-795.80,41.7,False
2026-06-25,ES=F,SHORT,2026-06-25 09:50:00-04:00,7424.25,2026-06-25 10:10:00-04:00,7451.62,1,STOP,-1.009,-1371.00,41.6,False
2026-06-26,ES=F,LONG,2026-06-26 09:55:00-04:00,7386.25,2026-06-26 10:05:00-04:00,7416.34,1,TARGET,1.984,1502.27,40.5,False
2026-06-29,ES=F,LONG,2026-06-29 09:50:00-04:00,7479.50,2026-06-29 09:55:00-04:00,7459.75,1,STOP,-1.013,-989.75,33.9,False
2026-06-29,ES=F,SHORT,2026-06-29 10:10:00-04:00,7439.25,2026-06-29 10:30:00-04:00,7459.00,1,STOP,-1.013,-989.75,43.2,False
2026-06-30,ES=F,LONG,2026-06-30 09:55:00-04:00,7519.00,2026-06-30 10:30:00-04:00,7537.80,1,TARGET,1.974,937.64,25.4,False
2026-07-01,ES=F,LONG,2026-07-01 10:00:00-04:00,7537.00,2026-07-01 11:15:00-04:00,7565.00,1,TARGET,1.982,1397.75,32.2,False
2026-07-02,ES=F,LONG,2026-07-02 09:50:00-04:00,7585.50,2026-07-02 10:25:00-04:00,7569.25,1,STOP,-1.016,-814.75,33.3,False
2026-07-06,ES=F,LONG,2026-07-06 09:55:00-04:00,7567.50,2026-07-06 11:30:00-04:00,7587.75,1,TARGET,1.976,1010.25,26.4,False
2026-07-07,ES=F,SHORT,2026-07-07 09:55:00-04:00,7567.00,2026-07-07 10:10:00-04:00,7548.75,1,TARGET,1.973,910.25,23.3,False
2026-07-08,ES=F,LONG,2026-07-08 09:50:00-04:00,7512.00,2026-07-08 10:35:00-04:00,7499.25,1,STOP,-1.020,-639.76,33.3,False
2026-07-08,ES=F,SHORT,2026-07-08 10:45:00-04:00,7499.25,2026-07-08 12:40:00-04:00,7514.82,1,STOP,-1.016,-780.91,40.9,False
2026-07-09,ES=F,LONG,2026-07-09 09:50:00-04:00,7555.25,2026-07-09 10:15:00-04:00,7540.50,1,STOP,-1.017,-739.75,25.0,False
2026-07-09,ES=F,SHORT,2026-07-09 10:25:00-04:00,7543.00,2026-07-09 10:35:00-04:00,7557.75,1,STOP,-1.017,-739.75,32.3,False
2026-07-10,ES=F,LONG,2026-07-10 10:05:00-04:00,7603.75,2026-07-10 10:15:00-04:00,7595.79,1,STOP,-1.032,-400.05,20.5,False
2026-07-10,ES=F,SHORT,2026-07-10 10:35:00-04:00,7581.00,2026-07-10 10:40:00-04:00,7594.85,1,STOP,-1.018,-694.70,36.3,False
2026-07-13,ES=F,LONG,2026-07-13 10:05:00-04:00,7599.00,2026-07-13 10:15:00-04:00,7589.34,1,STOP,-1.027,-485.16,25.1,False
2026-07-13,ES=F,SHORT,2026-07-13 10:40:00-04:00,7592.75,2026-07-13 12:30:00-04:00,7568.13,1,TARGET,1.980,1228.61,33.2,False
2026-07-14,ES=F,LONG,2026-07-14 09:50:00-04:00,7580.00,2026-07-14 10:15:00-04:00,7565.15,1,STOP,-1.017,-744.78,38.9,False
2026-07-15,ES=F,SHORT,2026-07-15 09:50:00-04:00,7605.25,2026-07-15 09:55:00-04:00,7613.74,1,STOP,-1.030,-426.88,22.0,False
2026-07-16,ES=F,SHORT,2026-07-16 09:50:00-04:00,7579.00,2026-07-16 09:50:00-04:00,7591.50,1,STOP,-1.020,-627.25,26.1,False
2026-07-16,ES=F,LONG,2026-07-16 10:10:00-04:00,7603.25,2026-07-16 12:10:00-04:00,7590.75,1,STOP,-1.020,-627.25,30.8,False
2026-07-17,ES=F,LONG,2026-07-17 09:55:00-04:00,7504.50,2026-07-17 10:05:00-04:00,7529.63,1,TARGET,1.980,1254.17,33.8,False
2026-07-20,ES=F,LONG,2026-07-20 09:50:00-04:00,7540.00,2026-07-20 09:50:00-04:00,7530.38,1,STOP,-1.027,-483.50,24.9,False
2026-07-20,ES=F,SHORT,2026-07-20 10:00:00-04:00,7520.50,2026-07-20 12:05:00-04:00,7531.47,1,STOP,-1.023,-550.95,28.6,False
2026-07-21,ES=F,SHORT,2026-07-21 09:50:00-04:00,7512.25,2026-07-21 10:15:00-04:00,7524.88,1,STOP,-1.020,-633.50,23.3,False
2026-07-21,ES=F,LONG,2026-07-21 10:30:00-04:00,7532.00,2026-07-21 15:55:00-04:00,7545.50,1,SESSION_FLATTEN,1.091,672.75,30.4,False
2026-07-22,ES=F,LONG,2026-07-22 09:50:00-04:00,7539.50,2026-07-22 10:05:00-04:00,7555.50,1,TARGET,1.969,797.73,21.7,False
2026-07-23,ES=F,SHORT,2026-07-23 10:55:00-04:00,7441.50,2026-07-23 15:55:00-04:00,7444.25,1,SESSION_FLATTEN,-0.133,-139.75,48.2,False
2026-07-24,ES=F,LONG,2026-07-24 09:50:00-04:00,7457.00,2026-07-24 09:50:00-04:00,7447.93,1,STOP,-1.028,-455.60,23.5,False
2026-07-24,ES=F,SHORT,2026-07-24 10:00:00-04:00,7433.50,2026-07-24 10:00:00-04:00,7444.35,1,STOP,-1.024,-544.58,28.3,False
2026-07-27,ES=F,SHORT,2026-07-27 09:50:00-04:00,7496.25,2026-07-27 09:55:00-04:00,7475.00,1,TARGET,1.977,1060.25,22.4,False
2026-07-28,ES=F,SHORT,2026-07-28 09:50:00-04:00,7432.50,2026-07-28 10:45:00-04:00,7447.38,1,STOP,-1.017,-746.00,33.6,False
2026-07-28,ES=F,LONG,2026-07-28 10:55:00-04:00,7452.25,2026-07-28 12:50:00-04:00,7483.64,1,TARGET,1.984,1567.38,42.2,False
2026-07-29,ES=F,SHORT,2026-07-29 09:55:00-04:00,7433.75,2026-07-29 10:10:00-04:00,7409.86,1,TARGET,1.979,1192.24,32.2,False
2026-07-30,ES=F,LONG,2026-07-30 09:50:00-04:00,7427.75,2026-07-30 10:50:00-04:00,7415.83,1,STOP,-1.021,-598.27,31.1,False
2026-07-30,ES=F,SHORT,2026-07-30 11:20:00-04:00,7407.50,2026-07-30 11:45:00-04:00,7424.91,1,STOP,-1.015,-872.77,45.8,False
2026-07-31,ES=F,SHORT,2026-07-31 09:50:00-04:00,7474.00,2026-07-31 10:05:00-04:00,7438.50,1,TARGET,1.986,1772.75,30.5,False
2026-08-03,ES=F,LONG,2026-08-03 09:50:00-04:00,7571.00,2026-08-03 10:20:00-04:00,7599.00,1,TARGET,1.982,1397.75,26.2,False
2026-08-04,ES=F,LONG,2026-08-04 09:50:00-04:00,7677.25,2026-08-04 10:05:00-04:00,7694.50,1,TARGET,1.971,860.25,19.4,False
