day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2024-05-23,MES,LONG,2024-05-23 12:00:00-04:00,5338.25,2024-05-23 13:00:00-04:00,5317.04,4,STOP,-1.012,-430.19,55.9,False
2024-05-24,MES,LONG,2024-05-24 12:00:00-04:00,5321.00,2024-05-24 15:00:00-04:00,5321.50,3,SESSION_FLATTEN,0.020,3.06,67.5,False
2024-05-28,MES,LONG,2024-05-28 13:00:00-04:00,5324.00,2024-05-28 14:00:00-04:00,5303.04,4,STOP,-1.012,-425.05,55.6,False
2024-05-30,MES,SHORT,2024-05-30 12:00:00-04:00,5261.25,2024-05-30 15:00:00-04:00,5251.50,3,SESSION_FLATTEN,0.391,141.81,66.5,False
2024-05-31,MES,SHORT,2024-05-31 12:00:00-04:00,5218.75,2024-05-31 15:00:00-04:00,5297.25,3,SESSION_FLATTEN,-3.072,-1181.94,68.1,False
2024-06-03,MES,SHORT,2024-06-03 12:00:00-04:00,5281.75,2024-06-03 12:00:00-04:00,5259.00,2,SCALE_OUT,0.000,226.02,82.0,True
2024-06-03,MES,SHORT,2024-06-03 12:00:00-04:00,5281.75,2024-06-03 14:00:00-04:00,5282.00,3,STOP,-0.011,221.81,82.0,True
2024-06-04,MES,SHORT,2024-06-04 12:00:00-04:00,5272.50,2024-06-04 14:00:00-04:00,5296.40,3,STOP,-1.011,-362.88,84.4,False
2024-06-05,MES,LONG,2024-06-05 12:00:00-04:00,5340.25,2024-06-05 15:00:00-04:00,5366.50,3,SESSION_FLATTEN,1.170,389.31,83.2,False
2024-06-10,MES,LONG,2024-06-10 12:00:00-04:00,5362.00,2024-06-10 15:00:00-04:00,5372.25,4,SESSION_FLATTEN,0.580,199.08,64.2,False
2024-06-11,MES,LONG,2024-06-11 12:00:00-04:00,5353.25,2024-06-11 14:00:00-04:00,5376.50,2,SCALE_OUT,0.000,231.02,63.8,True
2024-06-11,MES,LONG,2024-06-11 12:00:00-04:00,5353.25,2024-06-11 15:00:00-04:00,5383.75,4,SESSION_FLATTEN,1.679,531.58,63.8,True
2024-06-14,MES,LONG,2024-06-14 12:00:00-04:00,5424.50,2024-06-14 15:00:00-04:00,5437.25,3,SESSION_FLATTEN,0.487,186.81,71.9,False
2024-06-17,MES,LONG,2024-06-17 12:00:00-04:00,5511.75,2024-06-17 12:00:00-04:00,5491.54,4,STOP,-1.013,-410.07,61.3,False
2024-06-18,MES,LONG,2024-06-18 13:00:00-04:00,5554.50,2024-06-18 13:00:00-04:00,5535.32,4,STOP,-1.013,-389.57,59.1,False
2024-06-25,MES,LONG,2024-06-25 12:00:00-04:00,5531.25,2024-06-25 15:00:00-04:00,5535.25,3,SESSION_FLATTEN,0.166,55.56,70.7,False
2024-06-26,MES,LONG,2024-06-26 12:00:00-04:00,5540.00,2024-06-26 15:00:00-04:00,5541.50,3,SESSION_FLATTEN,0.062,18.06,68.6,False
2024-07-02,MES,LONG,2024-07-02 12:00:00-04:00,5535.75,2024-07-02 14:00:00-04:00,5555.25,2,SCALE_OUT,0.000,193.52,65.2,True
2024-07-02,MES,LONG,2024-07-02 12:00:00-04:00,5535.75,2024-07-02 15:00:00-04:00,5569.25,4,SESSION_FLATTEN,1.846,524.08,65.2,True
2024-07-03,MES,LONG,2024-07-03 11:30:00-04:00,5576.25,2024-07-03 13:00:00-04:00,5590.00,4,SESSION_FLATTEN,0.707,269.08,59.9,False
2024-07-05,MES,LONG,2024-07-05 12:00:00-04:00,5611.00,2024-07-05 15:00:00-04:00,5622.00,4,SESSION_FLATTEN,0.547,214.08,57.4,False
2024-07-10,MES,LONG,2024-07-10 12:00:00-04:00,5651.75,2024-07-10 13:00:00-04:00,5670.75,2,SCALE_OUT,0.000,188.52,46.2,True
2024-07-10,MES,LONG,2024-07-10 12:00:00-04:00,5651.75,2024-07-10 15:00:00-04:00,5686.00,5,SESSION_FLATTEN,2.086,696.35,46.2,True
2024-07-12,MES,LONG,2024-07-12 12:00:00-04:00,5678.75,2024-07-12 14:00:00-04:00,5703.50,2,SCALE_OUT,0.000,246.02,66.6,True
2024-07-12,MES,LONG,2024-07-12 12:00:00-04:00,5678.75,2024-07-12 15:00:00-04:00,5669.75,3,SESSION_FLATTEN,-0.360,198.06,66.6,True
2024-07-15,MES,LONG,2024-07-15 12:00:00-04:00,5708.25,2024-07-15 13:00:00-04:00,5678.61,3,STOP,-1.009,-449.07,78.4,False
2024-07-16,MES,LONG,2024-07-16 12:00:00-04:00,5700.75,2024-07-16 15:00:00-04:00,5717.75,3,SESSION_FLATTEN,0.582,250.56,79.8,False
