day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2026-06-11,MES,SHORT,2026-06-11 11:00:00-04:00,7275.25,2026-06-11 11:15:00-04:00,7301.69,3,STOP,-1.010,-401.03,69.8,False
2026-06-12,MES,LONG,2026-06-12 10:55:00-04:00,7433.75,2026-06-12 11:55:00-04:00,7407.43,3,STOP,-1.010,-399.21,74.4,False
2026-06-15,MES,LONG,2026-06-15 09:50:00-04:00,7619.75,2026-06-15 12:00:00-04:00,7645.75,2,SCALE_OUT,0.000,258.52,72.3,True
2026-06-15,MES,LONG,2026-06-15 09:50:00-04:00,7619.75,2026-06-15 12:40:00-04:00,7639.14,3,STOP,0.784,352.50,72.3,True
2026-06-16,MES,SHORT,2026-06-16 10:00:00-04:00,7622.50,2026-06-16 10:05:00-04:00,7632.31,5,STOP,-1.026,-252.63,25.5,False
2026-06-17,MES,SHORT,2026-06-17 10:00:00-04:00,7581.00,2026-06-17 10:05:00-04:00,7592.93,5,STOP,-1.021,-305.57,31.1,False
2026-06-17,MES,LONG,2026-06-17 10:25:00-04:00,7604.00,2026-06-17 10:30:00-04:00,7591.39,5,STOP,-1.020,-322.76,33.0,False
2026-06-22,MES,SHORT,2026-06-22 10:30:00-04:00,7561.00,2026-06-22 10:40:00-04:00,7540.57,5,TARGET,1.482,503.30,41.2,False
2026-06-24,MES,LONG,2026-06-24 10:45:00-04:00,7473.00,2026-06-24 10:55:00-04:00,7493.25,2,SCALE_OUT,0.000,201.02,51.7,True
2026-06-24,MES,LONG,2026-06-24 10:45:00-04:00,7473.00,2026-06-24 11:00:00-04:00,7494.94,5,TARGET,1.483,524.17,51.7,True
2026-06-25,MES,SHORT,2026-06-25 09:50:00-04:00,7424.50,2026-06-25 09:55:00-04:00,7393.25,2,SCALE_OUT,0.000,311.02,65.6,True
2026-06-25,MES,SHORT,2026-06-25 09:50:00-04:00,7424.50,2026-06-25 10:00:00-04:00,7415.11,3,STOP,0.356,355.03,65.6,True
2026-06-26,MES,LONG,2026-06-26 10:10:00-04:00,7423.25,2026-06-26 11:35:00-04:00,7451.25,2,SCALE_OUT,0.000,278.52,60.6,True
2026-06-26,MES,LONG,2026-06-26 10:10:00-04:00,7423.25,2026-06-26 11:40:00-04:00,7454.03,4,TARGET,1.488,581.90,60.6,True
2026-06-29,MES,SHORT,2026-06-29 10:15:00-04:00,7415.25,2026-06-29 10:25:00-04:00,7443.36,3,STOP,-1.009,-426.15,74.3,False
2026-06-30,MES,LONG,2026-06-30 09:55:00-04:00,7519.00,2026-06-30 10:00:00-04:00,7532.25,2,SCALE_OUT,0.000,131.02,28.0,True
2026-06-30,MES,LONG,2026-06-30 09:55:00-04:00,7519.00,2026-06-30 10:05:00-04:00,7522.38,5,STOP,0.323,175.86,28.0,True
2026-07-01,MES,LONG,2026-07-01 10:10:00-04:00,7544.50,2026-07-01 11:00:00-04:00,7561.25,2,SCALE_OUT,0.000,166.02,34.4,True
2026-07-01,MES,LONG,2026-07-01 10:10:00-04:00,7544.50,2026-07-01 11:15:00-04:00,7565.44,5,TARGET,1.482,474.16,34.4,True
2026-07-02,MES,LONG,2026-07-02 09:50:00-04:00,7585.50,2026-07-02 10:25:00-04:00,7569.25,5,STOP,-1.016,-413.65,32.6,False
2026-07-02,MES,SHORT,2026-07-02 10:45:00-04:00,7549.25,2026-07-02 11:05:00-04:00,7523.50,5,TARGET,1.486,636.40,47.3,False
2026-07-06,MES,LONG,2026-07-06 10:25:00-04:00,7576.00,2026-07-06 13:05:00-04:00,7593.00,2,SCALE_OUT,0.000,168.52,41.0,True
2026-07-06,MES,LONG,2026-07-06 10:25:00-04:00,7576.00,2026-07-06 13:20:00-04:00,7587.19,5,STOP,0.728,330.46,41.0,True
2026-07-07,MES,SHORT,2026-07-07 09:55:00-04:00,7567.00,2026-07-07 10:10:00-04:00,7552.44,5,TARGET,1.475,356.52,26.3,False
2026-07-08,MES,SHORT,2026-07-08 10:40:00-04:00,7497.75,2026-07-08 11:20:00-04:00,7476.50,2,SCALE_OUT,0.000,211.02,44.3,True
2026-07-08,MES,SHORT,2026-07-08 10:40:00-04:00,7497.75,2026-07-08 11:25:00-04:00,7473.10,5,TARGET,1.485,574.92,44.3,True
2026-07-09,MES,LONG,2026-07-09 09:55:00-04:00,7564.00,2026-07-09 10:10:00-04:00,7549.25,5,STOP,-1.017,-376.15,35.6,False
2026-07-10,MES,SHORT,2026-07-10 10:35:00-04:00,7581.00,2026-07-10 10:40:00-04:00,7595.07,5,STOP,-1.018,-359.11,36.8,False
2026-07-10,MES,LONG,2026-07-10 11:30:00-04:00,7605.50,2026-07-10 11:40:00-04:00,7592.09,5,STOP,-1.019,-342.77,35.1,False
2026-07-13,MES,SHORT,2026-07-13 10:20:00-04:00,7589.75,2026-07-13 10:25:00-04:00,7602.95,5,STOP,-1.019,-337.35,34.5,False
2026-07-14,MES,LONG,2026-07-14 10:35:00-04:00,7591.00,2026-07-14 12:00:00-04:00,7574.04,5,STOP,-1.015,-431.44,44.6,False
2026-07-15,MES,SHORT,2026-07-15 10:55:00-04:00,7600.25,2026-07-15 12:10:00-04:00,7582.00,2,SCALE_OUT,0.000,181.02,37.4,True
2026-07-15,MES,SHORT,2026-07-15 10:55:00-04:00,7600.25,2026-07-15 12:15:00-04:00,7579.45,5,TARGET,1.482,487.03,37.4,True
2026-07-16,MES,SHORT,2026-07-16 09:50:00-04:00,7578.75,2026-07-16 09:50:00-04:00,7591.25,5,STOP,-1.020,-319.90,31.4,False
2026-07-16,MES,LONG,2026-07-16 10:20:00-04:00,7608.25,2026-07-16 12:05:00-04:00,7595.57,5,STOP,-1.020,-324.38,33.1,False
2026-07-20,MES,SHORT,2026-07-20 10:15:00-04:00,7513.75,2026-07-20 12:05:00-04:00,7529.87,5,STOP,-1.016,-410.37,42.3,False
2026-07-21,MES,LONG,2026-07-21 10:30:00-04:00,7532.25,2026-07-21 12:15:00-04:00,7547.75,2,SCALE_OUT,0.000,153.52,40.4,True
2026-07-21,MES,LONG,2026-07-21 10:30:00-04:00,7532.25,2026-07-21 13:15:00-04:00,7546.17,5,STOP,0.920,356.47,40.4,True
2026-07-22,MES,LONG,2026-07-22 09:55:00-04:00,7543.50,2026-07-22 10:00:00-04:00,7551.50,2,SCALE_OUT,0.000,78.52,20.7,True
2026-07-22,MES,LONG,2026-07-22 09:55:00-04:00,7543.50,2026-07-22 10:05:00-04:00,7554.88,5,TARGET,1.468,243.31,20.7,True
2026-07-23,MES,SHORT,2026-07-23 10:55:00-04:00,7441.50,2026-07-23 11:25:00-04:00,7419.25,2,SCALE_OUT,0.000,221.02,51.8,True
2026-07-23,MES,SHORT,2026-07-23 10:55:00-04:00,7441.50,2026-07-23 11:35:00-04:00,7433.88,4,STOP,0.370,292.83,51.8,True
2026-07-24,MES,LONG,2026-07-24 09:50:00-04:00,7457.00,2026-07-24 09:50:00-04:00,7444.83,5,STOP,-1.021,-311.53,31.8,False
2026-07-24,MES,SHORT,2026-07-24 10:00:00-04:00,7433.25,2026-07-24 10:05:00-04:00,7446.77,5,STOP,-1.019,-345.36,35.4,False
2026-07-27,MES,SHORT,2026-07-27 10:25:00-04:00,7455.75,2026-07-27 10:30:00-04:00,7437.50,2,SCALE_OUT,0.000,181.02,46.5,True
2026-07-27,MES,SHORT,2026-07-27 10:25:00-04:00,7455.75,2026-07-27 10:35:00-04:00,7430.84,5,TARGET,1.485,548.76,46.5,True
2026-07-28,MES,SHORT,2026-07-28 10:00:00-04:00,7421.50,2026-07-28 10:05:00-04:00,7436.38,5,STOP,-1.017,-379.27,37.4,False
2026-07-28,MES,LONG,2026-07-28 11:20:00-04:00,7463.50,2026-07-28 11:45:00-04:00,7480.50,2,SCALE_OUT,0.000,168.52,44.2,True
2026-07-28,MES,LONG,2026-07-28 11:20:00-04:00,7463.50,2026-07-28 12:30:00-04:00,7468.61,5,STOP,0.308,239.30,44.2,True
2026-07-29,MES,SHORT,2026-07-29 09:55:00-04:00,7433.75,2026-07-29 10:10:00-04:00,7414.96,5,TARGET,1.480,462.43,33.9,False
2026-07-30,MES,LONG,2026-07-30 09:50:00-04:00,7427.75,2026-07-30 14:25:00-04:00,7457.25,2,SCALE_OUT,0.000,293.52,78.5,True
2026-07-30,MES,LONG,2026-07-30 09:50:00-04:00,7427.75,2026-07-30 15:05:00-04:00,7471.67,3,TARGET,1.492,510.16,78.5,True
2026-07-31,MES,SHORT,2026-07-31 10:05:00-04:00,7454.25,2026-07-31 10:10:00-04:00,7436.00,2,SCALE_OUT,0.000,181.02,44.2,True
2026-07-31,MES,SHORT,2026-07-31 10:05:00-04:00,7454.25,2026-07-31 10:20:00-04:00,7451.19,5,STOP,0.171,220.96,44.2,True
2026-08-03,MES,LONG,2026-08-03 09:55:00-04:00,7579.75,2026-08-03 10:20:00-04:00,7597.75,2,SCALE_OUT,0.000,178.52,42.7,True
2026-08-03,MES,LONG,2026-08-03 09:55:00-04:00,7579.75,2026-08-03 10:55:00-04:00,7603.50,5,TARGET,1.484,528.88,42.7,True
2026-08-04,MES,LONG,2026-08-04 09:50:00-04:00,7677.25,2026-08-04 10:00:00-04:00,7692.51,5,TARGET,1.476,374.21,27.6,False
