day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2026-06-24,ES,SHORT,2026-06-24 09:50:00-04:00,7449.75,2026-06-24 09:50:00-04:00,7455.32,1,STOP,-1.047,-284.16,48.3,False
2026-06-24,ES,LONG,2026-06-24 10:35:00-04:00,7466.00,2026-06-24 10:35:00-04:00,7460.71,1,STOP,-1.050,-269.95,51.7,False
2026-06-25,ES,SHORT,2026-06-25 09:50:00-04:00,7424.25,2026-06-25 09:50:00-04:00,7429.27,1,STOP,-1.052,-256.46,65.6,False
2026-06-26,ES,LONG,2026-06-26 10:10:00-04:00,7423.25,2026-06-26 10:10:00-04:00,7418.49,1,STOP,-1.055,-243.63,60.6,False
2026-06-29,ES,LONG,2026-06-29 09:50:00-04:00,7479.50,2026-06-29 09:50:00-04:00,7474.98,1,STOP,-1.059,-231.45,72.2,False
2026-06-29,ES,SHORT,2026-06-29 10:15:00-04:00,7415.25,2026-06-29 10:15:00-04:00,7419.54,1,STOP,-1.062,-219.88,74.3,False
2026-06-30,ES,LONG,2026-06-30 09:55:00-04:00,7519.00,2026-06-30 09:55:00-04:00,7526.39,1,TARGET,1.935,364.01,28.0,False
2026-07-01,ES,LONG,2026-07-01 10:10:00-04:00,7544.50,2026-07-01 10:20:00-04:00,7552.62,1,TARGET,1.940,400.41,34.4,False
2026-07-02,ES,LONG,2026-07-02 09:50:00-04:00,7585.50,2026-07-02 10:10:00-04:00,7580.67,1,STOP,-1.055,-247.11,32.6,False
2026-07-02,ES,SHORT,2026-07-02 10:45:00-04:00,7549.00,2026-07-02 10:45:00-04:00,7553.59,1,STOP,-1.058,-234.75,47.3,False
2026-07-06,ES,LONG,2026-07-06 09:55:00-04:00,7567.50,2026-07-06 09:55:00-04:00,7563.15,1,STOP,-1.061,-223.01,45.6,False
2026-07-07,ES,SHORT,2026-07-07 09:55:00-04:00,7567.00,2026-07-07 10:05:00-04:00,7559.49,1,TARGET,1.936,369.97,26.3,False
2026-07-08,ES,SHORT,2026-07-08 10:40:00-04:00,7497.75,2026-07-08 10:40:00-04:00,7502.25,1,STOP,-1.059,-230.36,44.3,False
2026-07-09,ES,LONG,2026-07-09 09:50:00-04:00,7555.25,2026-07-09 09:50:00-04:00,7563.04,1,TARGET,1.938,383.93,34.3,False
2026-07-10,ES,LONG,2026-07-10 10:05:00-04:00,7603.75,2026-07-10 10:05:00-04:00,7599.10,1,STOP,-1.057,-238.04,21.5,False
2026-07-10,ES,SHORT,2026-07-10 10:35:00-04:00,7581.00,2026-07-10 10:35:00-04:00,7585.41,1,STOP,-1.060,-226.14,36.8,False
2026-07-13,ES,SHORT,2026-07-13 09:50:00-04:00,7599.50,2026-07-13 09:50:00-04:00,7591.87,1,TARGET,1.937,375.90,22.1,False
2026-07-14,ES,LONG,2026-07-14 09:50:00-04:00,7580.00,2026-07-14 10:00:00-04:00,7575.44,1,STOP,-1.058,-233.63,33.1,False
2026-07-14,ES,SHORT,2026-07-14 10:20:00-04:00,7568.50,2026-07-14 10:20:00-04:00,7572.83,1,STOP,-1.061,-221.94,37.4,False
2026-07-15,ES,SHORT,2026-07-15 10:55:00-04:00,7600.50,2026-07-15 10:55:00-04:00,7604.61,1,STOP,-1.065,-210.85,37.4,False
2026-07-16,ES,SHORT,2026-07-16 09:50:00-04:00,7579.00,2026-07-16 09:50:00-04:00,7582.90,1,STOP,-1.069,-200.30,31.4,False
2026-07-16,ES,LONG,2026-07-16 10:10:00-04:00,7603.25,2026-07-16 10:25:00-04:00,7609.89,1,TARGET,1.927,326.82,34.7,False
2026-07-20,ES,LONG,2026-07-20 09:50:00-04:00,7540.00,2026-07-20 09:50:00-04:00,7535.98,1,STOP,-1.066,-206.63,43.3,False
2026-07-20,ES,SHORT,2026-07-20 10:15:00-04:00,7513.75,2026-07-20 10:15:00-04:00,7517.57,1,STOP,-1.070,-196.30,42.3,False
2026-07-21,ES,LONG,2026-07-21 10:30:00-04:00,7532.00,2026-07-21 10:35:00-04:00,7528.38,1,STOP,-1.074,-186.48,40.4,False
2026-07-22,ES,LONG,2026-07-22 09:55:00-04:00,7543.50,2026-07-22 09:55:00-04:00,7549.62,1,TARGET,1.922,300.56,20.7,False
2026-07-23,ES,SHORT,2026-07-23 10:55:00-04:00,7441.50,2026-07-23 10:55:00-04:00,7445.24,1,STOP,-1.072,-192.19,51.8,False
2026-07-24,ES,LONG,2026-07-24 09:50:00-04:00,7457.00,2026-07-24 09:50:00-04:00,7453.46,1,STOP,-1.076,-182.58,31.8,False
